ID,Title,IsPrivateIndividual,Comments
1,(Unknown Operator),,
2,Elektrobay (UK),False,
3,POD Point (UK),False,Part of Groupe EDF
5,ChargePoint,False,
6,Nissan US Dealer Network,,
7,Nissan UK Dealer Network,False,Network of franchised Nissan Dealers
8,Chargemaster,False,
9,Blink Network/ECOtality,False,"Membership based charging network, part of Car Charging Group, inc."
11,EVSE LLC WebNet,False,Imported by ADFC import
12,RechargeAccess,False,Imported by ADFC import
13,PETROL,False,"PETROL is a fuel supplier and runs charge points in Slovenia, part of the CENTRAL EUROPEAN GREEN CORRIDORS (CEGC) PROJECT"
14,Shorepower,False,Imported by ADFC import
15,eVgo Network,False,Imported by ADFC import
16,Elektromotive (UK),False,
18,TIWAG Tiroler Wasserkraft AG (AT),False,
19,Zero Carbon World,False,UK Charity promoting carbon reduction
20,Charge Your Car,False,
21,Mobie.pt,False,
22,ESB Ecars,False,
23,Tesla (Tesla-only charging),False,
24,Electric Highway (UK),False,Formerly known as the Ecotricity Electric Highway
25,Source London,False,"Monthly post-payment membership system, with per-minute billing and optional lower tariffs in return for monthly subscription payment."
26,AeroVironment,False,
28,WEL Networks Ltd,False,
29,e-Laad,,
31,Clipper Creek,False,
32,BP Pulse (UK),False,"Formerly known as Polar Network, or BP Chargemaster"
33,SDEY (Fr),False,Syndicat Départemental d'Énergies de l'Yonne
34,Westar Energy ElectroGo,False,
35,ThePluginCompany (Belgium),False,
36,Blue Corner (Belgium),False,
38,Lidl,False,Belgian charging network
39,SemaConnect,False,
41,MAGNE Charge,False,Obsolete inductive paddle charging standard
42,EATON,False,
43,AVCON,False,Obsolete inductive paddle charging
44,(Private Residence/Individual),True,For use when the operator is a home owner or private individual making their own facilities available to the public
45,(Business Owner at Location),False,For use when the operator of the equipment is a single business owner connected to the location and equipment is not part of a larger network
46,E.ON (DE),False,
47,Shell Recharge Solutions (NL),False,
48,RWE Mobility/Essent,,Essent is part of the RWE group
49,EV-Point,,
50,Volta Charging,False,
51,Sun Country Highway,,
52,Enovos,False,
53,Autolib (Paris),False,
54,ZE-MO (Be),False,
55,e-totem,False,
56,Auto Bleue,False,
57,The REV Project (UWA - Australia),False,
59,Shell Recharge Solutions (US),False,
60,Source East (UK),False,Defunct network.
61,Vitaemobility,False,
62,KiWhi Pass,False,
63,Greenflux,False,
64,Ultra-Fast,False,
65,UWAG,False,
66,Drehstromnetz,False,
67,ElectroDrive,False,
68,Empora,,
69,ladenetz.de,False,
70,Eşarj (TR),False,
71,Plugged In Midlands (UK),False,
72,RheinEnergie AG,,
73,EV-Box,,
74,FastNed,False,
76,ELMO,,"When calling 651 1911 the price of the call depends on the selected service package. When calling 1911, the price of the call is 0.23 euros (including VAT). The price of content service of calls to call service numbers does not depend on the service package of a customer; it is the same for all callers."
77,Ecoplug,,
78,Essent (NL),,
79,Mobib (Belgium),,
80,Enel X,False,IT*ELX
81,Silfi (Italy),,
82,E-moving (Italy),False,
83,Ecospazio (Italy),,
84,Green Land Mobility (Italy),,
85,FORTISIS,False,Operator based on Greence and Cyprus
86,EnBW (D),,
87,EVbility (Italy),,
88,Greenway,False,
89,flo,False,RéseauVER / VERnetwork        http://www.reseauver.com/          (877) 505-2674          service@reseauver.com
90,Circuit Electrique,,
91,Repsol - Ibil (ES),False,
92,MobecPoint (Es),,
93,E-Car,,
94,BeCharged,,
95,Helsingin Energia,False,
96,ChargeLounge,False,
97,Park & Charge (CH),False,
98,Park & Charge (D),False,
99,Vlotte,False,
100,ZenCar,False,
101,ChargeIT mobility,False,
102,Orka Náttúrunnar,False,
103,Allego BV,False,
104,RWE / Npower,False,
105,Innogy SE (RWE eMobility),False,
106,Ladefoxx,False,
107,OpConnect,False,
108,Vattenfall InCharge,False,
109,EWR gmbh e-mobile,False,
110,EVite (ch),False,
111,Hong Kong EV Power,False,
112,"MisterGreen, The Fast Charger Network",False,
113,Sähköinenliikenne (fi),False,
114,Power Station,False,
115,ČEZ,False,
116,G2mobility,False,
118,AGSM Electrify Verona,False,
119,Plug-In North Central Washington,False,
120,JuicePoint,False,
121,EnerCity,False,
122,Harz Energie,False,
123,Stadtwerke Lübeck,False,
124,Osterholzer Stadtwerke,False,
125,SWB / EWE,False,
126,VR Schneller-Strom-tanken,False,
127,EWE,False,
128,LSW Energie,False,
129,BS Energie,False,
130,Stadtwerke Wernigerode,False,
131,Stadtwerke Northeim  SWN,False,
132,Stadtwerke Göttingen,False,
133,Rauman Energia,False,
134,Stadtwerke Verden,False,
135,Manx Electricity Authority,False,
136,VIRTA,False,
137,EVS Energieversorgung Sylt,False,
138,SUN Stadtwerke Union Nordhessen,False,
139,Schleswiger Stadtwerke,False,
140,EAM,False,
141,ElectroDrive Salzburg,False,
142,TANKE Wien Energie,False,
143,Stadtwerke Rinteln,False,
144,Versorgungsbetriebe Hann. Münden,False,
145,EWI  Energiewerke Isernhagen,False,
146,Stadtwerke Hameln,False,
147,Stadtwerke Neumünster (SWN).,False,
148,Stadtwerke Haldensleben  SWH,False,
149,Stadtwerke Soest,False,
150,The GeniePoint Network ( EQUANS EV Solutions ),False,"also known as Revive, Engie EV Solutions regional branding"
151,Stadtwerke Grevesmühlen,False,
152,Städtische Werke Magdeburg,False,
153,Stadtwerke Strahlsund,False,
154,Stadtwerke Rostock,False,
155,Stadtwerke Leipzig SWL,False,
156,Shell Recharge Solutions (DE),False,
157,Shell Recharge Solutions (BE),False,
158,Stadtwerke Dessau,False,
159,Stadtwerke Wittenberg,False,
160,StromTicket,False,
161,Stadtwerke Halle,False,
162,Stadtwerke Clausthal-Zellerfeld,False,
163,GGEW,False,
164,Neogy,False,
165,Mainova,False,
166,Stadtwerke Wolfenbüttel,False,
167,Nissan DE Freistrom,False,
169,Stadtwerke Uetersen,False,
170,Stadtwerke Elmshorn,False,
171,EEW Duderstadt,False,
172,ENEWA,False,
173,ChargeNow,False,
174,TOTAL Nl PlugToDrive,False,
175,TOTAL Be PlugToDrive,False,
176,ZEAG Energie,False,
177,Nuon,False,
178,EVnetNL,False,
179,Ecotap,False,
180,Alfen,False,
181,eNovates,False,
182,Latvenergo,False,
183,Wirtschaftsbetriebe Stadt Nienburg,False,
184,ElectroDrive/Mark-E (DE),False,
185,CLEVER,False,
186,Azra Network,False,
187,ELMŰ,False,
188,OVAG Energie,False,
189,E-Wald,False,
190,PRE (cz),False,
191,inChaNet,False,
192,E.ON (CZ),False,
193,VSE,False,
194,RAC Electric Highway/ChargeStar,False,
195,Werraenergie,False,
196,Nomadpower,False,
197,FLOW Charging,False,
198,Recharge (Formerly Fortum Charge & Drive),False,
199,EDP MOP,False,
200,PRIOE,False,Prio.E Mobility Solutions
201,München Umland,False,
202,Charge & Drive (Fortum - NO),False,
203,Osprey Charging,False,"GB*OSP,formerly known as Engenie"
204,GardaUno,False,
205,Estonteca,False,
206,LIVE Barcelona,False,
207,Endesa,False,
208,eDrop,False,
209,Estabanell Energia,False,
210,GIC,False,
211,sofos,False,
212,Amersam,False,
213,Izivia (Sodetrel),False,Formerly known as Sodetrel
214,be emobil,False,
215,Charge & Fuel,False,
216,Enspirion,False,
217,RCS (Revitalize Charging Solutions),False,
218,Galactico.pl,False,
